Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2023-01-01T00:00+01:00,2460.65,9273.447571,36235.17621,75.01
2023-01-01T00:15+01:00,2458.51,9255.729807,36501.10598,-29.95
2023-01-01T00:30+01:00,2459.64,9280.397316,37183.59027,-29.98
2023-01-01T00:45+01:00,2457.88,9252.883593,36648.03863,-30
2023-01-01T01:00+01:00,2457.65,9061.147341,37176.07029,26.81
2023-01-01T01:15+01:00,2458.5,9038.411391,37767.93586,-29.92
2023-01-01T01:30+01:00,2459.39,9048.099412,37638.50934,-29.94
2023-01-01T01:45+01:00,2458.87,9022.229419,38204.82029,-29.95
2023-01-01T02:00+01:00,2459.5,8980.268712,37824.68253,-29.92
2023-01-01T02:15+01:00,2458.88,8970.712605,38033.26015,-29.93
2023-01-01T02:30+01:00,2461,8948.771217,37699.48588,-29.94
2023-01-01T02:45+01:00,2459.2,8921.289663,37839.77981,-29.94
2023-01-01T03:00+01:00,2459.93,8949.914918,36346.29715,-29.92
2023-01-01T03:15+01:00,2460.32,8976.472091,35661.58185,-29.93
2023-01-01T03:30+01:00,2460.9,8967.689002,35281.00589,-29.94
2023-01-01T03:45+01:00,2460.75,8977.915155,34972.90719,-29.94
2023-01-01T04:00+01:00,2461.13,8973.990375,35157.978,-29.9
2023-01-01T04:15+01:00,2460.9,9005.117465,35131.25469,-29.93
2023-01-01T04:30+01:00,2460.67,9012.585974,35053.99982,-29.93
2023-01-01T04:45+01:00,2460.51,8896.007261,34996.74779,-29.94
2023-01-01T05:00+01:00,2464.7,8913.942184,35869.64786,0.84
2023-01-01T05:15+01:00,2463.91,8926.700786,35392.00526,-29.92
2023-01-01T05:30+01:00,2465.91,8908.606861,35066.90252,-29.92
2023-01-01T05:45+01:00,2465.55,8933.317303,35112.35681,-29.93
2023-01-01T06:00+01:00,2464.24,8886.857812,35514.61258,11.73
2023-01-01T06:15+01:00,2465.25,8899.557376,35273.82333,-29.91
2023-01-01T06:30+01:00,2464.87,8941.011581,35254.57344,-29.91
2023-01-01T06:45+01:00,2463.47,8956.875895,35115.15695,-29.91
2023-01-01T07:00+01:00,2464.74,8946.800193,36086.17757,-29.9
2023-01-01T07:15+01:00,2464.36,8952.157554,35998.38063,-29.9
2023-01-01T07:30+01:00,2464.24,8960.337812,36046.62271,-29.9
2023-01-01T07:45+01:00,2463.53,8970.072334,35846.39355,17.7
2023-01-01T08:00+01:00,2463.59,8939.696754,35229.89788,-30
2023-01-01T08:15+01:00,2461.38,8924.959425,35270.32188,-29.9
2023-01-01T08:30+01:00,2462.81,8929.248708,35346.27884,-29.9
2023-01-01T08:45+01:00,2463.1,8925.138978,35818.67295,5.21
2023-01-01T09:00+01:00,2466.33,8937.983547,36526.0323,-30
2023-01-01T09:15+01:00,2466.83,8946.265161,37298.64447,-29.9
2023-01-01T09:30+01:00,2465.5,8881.403862,37751.1911,-29.9
2023-01-01T09:45+01:00,2465.85,8827.447732,38352.42458,91.99
2023-01-01T10:00+01:00,2465.17,8845.6462,38924.44894,-29.9
2023-01-01T10:15+01:00,2463.59,8827.735738,39419.49921,-29.9
2023-01-01T10:30+01:00,2463.58,8850.268286,39655.87946,-29.9
2023-01-01T10:45+01:00,2463.41,8857.56119,39987.71209,91.35
2023-01-01T11:00+01:00,2461.48,8859.451279,40165.86959,-30
2023-01-01T11:15+01:00,2461.56,8866.72451,40656.81948,-29.9
2023-01-01T11:30+01:00,2462.35,8914.082926,41177.37458,-29.9
2023-01-01T11:45+01:00,2462.36,8905.898011,41332.67077,91.57
2023-01-01T12:00+01:00,2462.24,8905.015294,40508.12,-29.9
2023-01-01T12:15+01:00,2459.44,8936.848796,39756.32306,125.69
2023-01-01T12:30+01:00,2457.58,8925.025178,39314.0628,-29.91
2023-01-01T12:45+01:00,2455.34,8937.139497,39200.11809,-29.92
2023-01-01T13:00+01:00,2456.07,9026.390601,39097.5859,136.41
2023-01-01T13:15+01:00,2456.53,9156.782929,38415.95257,-29.94
2023-01-01T13:30+01:00,2455.24,9227.940132,37279.40849,-29.95
