Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,8137.751134,23474.26882,11558.83476,75.83
2021-01-01T00:15+01:00,8145.721879,23288.08826,11386.1439,63.16
2021-01-01T00:30+01:00,8147.772071,23107.50801,11139.36813,54.65
2021-01-01T00:45+01:00,8150.392316,22967.90433,11033.27713,35.5
2021-01-01T01:00+01:00,8151.152387,22745.69089,11068.69695,64.66
2021-01-01T01:15+01:00,8147.242021,22516.39246,10909.43948,54.86
2021-01-01T01:30+01:00,8154.052658,22462.65791,10751.6801,45
2021-01-01T01:45+01:00,8152.852546,22519.09247,10643.24346,39.31
2021-01-01T02:00+01:00,8156.562893,22596.018,10510.02325,54.26
2021-01-01T02:15+01:00,8161.633367,22541.77704,10421.05385,49.42
2021-01-01T02:30+01:00,8158.393064,22738.0945,10337.87163,34.93
2021-01-01T02:45+01:00,8151.332404,22678.31572,10197.33689,30.72
2021-01-01T03:00+01:00,8145.62187,22677.81905,10174.6479,46.63
2021-01-01T03:15+01:00,8158.783101,22733.05944,9959.86681,42.09
2021-01-01T03:30+01:00,8155.892831,22894.58475,9849.026957,32.67
2021-01-01T03:45+01:00,8157.342966,22910.48387,9778.538428,33.54
2021-01-01T04:00+01:00,8154.612711,22724.40435,9692.496623,46.06
2021-01-01T04:15+01:00,8154.582708,22611.39513,9590.460525,37.6
2021-01-01T04:30+01:00,8145.931899,22671.09509,9549.757603,37.19
2021-01-01T04:45+01:00,8150.122291,22621.46628,9499.592842,32.4
2021-01-01T05:00+01:00,8156.892924,22855.69173,9469.957305,55.6
2021-01-01T05:15+01:00,8146.111916,22962.56747,9419.944463,48.46
2021-01-01T05:30+01:00,8145.561864,23185.80337,9398.798182,34.5
2021-01-01T05:45+01:00,8155.88283,23372.12997,9310.672998,6.38
2021-01-01T06:00+01:00,8155.03275,23716.44388,9435.172907,39.3
2021-01-01T06:15+01:00,8154.932741,23697.49031,9453.605748,29.41
2021-01-01T06:30+01:00,8156.682904,23627.54884,9458.229388,18.05
2021-01-01T06:45+01:00,8154.772726,23340.02009,9359.723785,26.37
2021-01-01T07:00+01:00,8152.002467,23090.34517,9291.608627,19.28
2021-01-01T07:15+01:00,8153.512608,23086.74575,9353.270336,23.78
2021-01-01T07:30+01:00,8154.122665,23224.58534,9370.879861,35.74
2021-01-01T07:45+01:00,8154.472698,23448.50103,9326.684672,47.64
2021-01-01T08:00+01:00,8155.292774,23695.007,9448.943181,14.76
2021-01-01T08:15+01:00,8157.352967,23625.44307,9553.301378,26.65
2021-01-01T08:30+01:00,8161.433349,23664.9978,9752.598802,39.9
2021-01-01T08:45+01:00,8158.213048,23743.06712,10037.27364,45.48
2021-01-01T09:00+01:00,8160.183232,23829.67219,10313.94987,30.47
2021-01-01T09:15+01:00,8159.553173,23845.76502,10675.01668,25.24
2021-01-01T09:30+01:00,8160.513263,23975.71046,11121.69097,42.25
2021-01-01T09:45+01:00,8162.573455,23875.25833,11573.22122,43.17
2021-01-01T10:00+01:00,8163.673558,24008.46794,12121.4712,35.09
2021-01-01T10:15+01:00,8162.883484,23969.47519,12548.85163,36.73
2021-01-01T10:30+01:00,8160.413253,23612.42629,12893.44029,40.72
2021-01-01T10:45+01:00,8160.553266,23685.7918,13268.94235,46
2021-01-01T11:00+01:00,8166.333807,23745.17613,13558.6571,39.69
2021-01-01T11:15+01:00,8163.083503,24011.49055,13819.65139,41.83
2021-01-01T11:30+01:00,8160.05322,24402.07356,14086.80159,49.22
2021-01-01T11:45+01:00,8154.982745,23920.63274,14204.78506,49.27
2021-01-01T12:00+01:00,8152.812542,23997.44314,14327.46527,49.56
2021-01-01T12:15+01:00,8153.882643,24043.0814,14312.869,46.72
2021-01-01T12:30+01:00,8154.932741,24162.34901,14268.14627,45.2
2021-01-01T12:45+01:00,8153.85264,24124.62843,14087.38239,33.16
2021-01-01T13:00+01:00,8154.332685,24053.63164,13824.49317,50.2
2021-01-01T13:15+01:00,8154.542704,24025.58206,13660.40838,44.38
2021-01-01T13:30+01:00,8153.472604,24019.97855,13479.35371,42.53
2021-01-01T13:45+01:00,8153.552612,24015.83216,13092.41349,40.84
2021-01-01T14:00+01:00,8153.302588,23935.08555,12557.65917,39.9
2021-01-01T14:15+01:00,8155.612804,24088.23279,12246.0121,42.68
2021-01-01T14:30+01:00,8157.222955,24096.20504,11710.31041,45.07
2021-01-01T14:45+01:00,8156.062846,24320.27738,11098.69095,46.56
2021-01-01T15:00+01:00,8157.723002,24515.11507,10684.77207,35.34
2021-01-01T15:15+01:00,8157.993027,24754.2802,10294.28452,43.3
2021-01-01T15:30+01:00,8158.853107,25000.04117,10014.2596,48.67
2021-01-01T15:45+01:00,8156.182858,25100.57859,9747.231929,51.57
2021-01-01T16:00+01:00,8152.222487,25316.81623,9834.244221,33.94
2021-01-01T16:15+01:00,8159.793195,25457.7653,10012.80089,42.73
2021-01-01T16:30+01:00,8160.263239,25582.8581,10208.54937,52.25
2021-01-01T16:45+01:00,8155.212767,25747.4699,10486.11561,64.47
2021-01-01T17:00+01:00,8151.432413,25932.13321,10660.94277,42.25
