Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2019-01-01T00:00+01:00,8994.340771,15917.47599,29715.90469,40.16
2019-01-01T00:15+01:00,9045.748765,14967.06467,30402.73446,27.51
2019-01-01T00:30+01:00,8976.765132,14435.79504,31112.58168,13.84
2019-01-01T00:45+01:00,8959.649117,13800.198,31367.19702,-1.5
2019-01-01T01:00+01:00,8891.19505,13349.03095,31582.78705,27.62
2019-01-01T01:15+01:00,8680.347333,13079.76539,32103.16153,18.04
2019-01-01T01:30+01:00,8442.401757,12891.57987,32682.1909,7.32
2019-01-01T01:45+01:00,8100.76091,12919.09212,33035.03938,1.18
2019-01-01T02:00+01:00,8040.769928,12795.55833,32715.5983,14.75
2019-01-01T02:15+01:00,8044.137177,12565.68979,32785.29151,7.65
2019-01-01T02:30+01:00,7944.088926,12425.23005,32458.4851,1.87
2019-01-01T02:45+01:00,7761.048487,12375.90841,32890.07173,-1.9
2019-01-01T03:00+01:00,7562.430777,12468.48465,33742.48748,10.16
2019-01-01T03:15+01:00,7237.965895,12609.01693,34007.5223,5.7
2019-01-01T03:30+01:00,7057.873048,12601.32846,34415.88647,0.17
2019-01-01T03:45+01:00,7004.396744,12545.71075,34623.66948,-3.23
2019-01-01T04:00+01:00,7079.635267,12450.73099,35432.38837,4.2
2019-01-01T04:15+01:00,7148.109317,12493.25685,35785.72782,6
2019-01-01T04:30+01:00,7107.612407,12522.07055,36056.15754,1.08
2019-01-01T04:45+01:00,7122.400323,12503.77086,36281.58294,4.31
2019-01-01T05:00+01:00,7117.694169,12425.95966,36902.95195,0.16
2019-01-01T05:15+01:00,7078.376295,12361.2205,37117.12084,-2.92
2019-01-01T05:30+01:00,7033.133263,12389.48417,37389.5688,1.48
2019-01-01T05:45+01:00,6989.998508,12363.75922,37287.49008,-6.73
2019-01-01T06:00+01:00,7027.797623,12219.05057,38046.21926,-26.89
2019-01-01T06:15+01:00,7021.912432,12167.29243,38381.18154,-19.1
2019-01-01T06:30+01:00,7024.540284,12193.241,38790.31416,-18.89
2019-01-01T06:45+01:00,7043.135091,12163.06976,39001.26629,-10.17
2019-01-01T07:00+01:00,7115.41603,12236.68335,39063.28011,-40.87
2019-01-01T07:15+01:00,7153.944549,12187.2846,39364.01935,-30
2019-01-01T07:30+01:00,7180.562799,12199.91677,39523.53391,-7.54
2019-01-01T07:45+01:00,7218.711628,12279.17138,39594.45024,-1.59
2019-01-01T08:00+01:00,7154.943732,12256.79558,39994.18405,-48.29
2019-01-01T08:15+01:00,7177.785069,12258.44441,40137.99395,-27.32
2019-01-01T08:30+01:00,7164.465952,12218.92315,40293.80542,-0.95
2019-01-01T08:45+01:00,7100.738024,12264.46757,40575.05936,4.55
2019-01-01T09:00+01:00,6965.358641,12443.23655,40489.1791,-18.33
2019-01-01T09:15+01:00,6972.223033,12746.25256,40534.93962,-13.77
2019-01-01T09:30+01:00,7043.774568,12831.52976,40487.41357,-6.12
2019-01-01T09:45+01:00,6955.196944,12833.18623,41076.58708,-7.02
2019-01-01T10:00+01:00,6789.931982,12827.69745,41727.854,-11.8
2019-01-01T10:15+01:00,6670.009969,12763.03951,42230.11547,-9.68
2019-01-01T10:30+01:00,6549.858145,12792.00415,42721.60405,-7.61
2019-01-01T10:45+01:00,6528.645477,12752.40689,43230.79383,-15.07
2019-01-01T11:00+01:00,6621.489615,12829.6146,44331.76805,-11.89
2019-01-01T11:15+01:00,6690.743028,12874.42064,44994.61778,-4.54
2019-01-01T11:30+01:00,6695.838865,12921.10579,45498.62441,-10.64
2019-01-01T11:45+01:00,6804.190331,12954.88862,45732.73951,-12.94
2019-01-01T12:00+01:00,6922.453699,12906.64142,45793.81904,-16.28
2019-01-01T12:15+01:00,6945.075215,13054.82153,45644.99812,-12.1
2019-01-01T12:30+01:00,6956.905548,13057.41829,45755.35159,-14.58
2019-01-01T12:45+01:00,6968.8358,13015.74862,45666.27951,-15.23
2019-01-01T13:00+01:00,6970.974053,13014.22566,45744.20573,-15.26
2019-01-01T13:15+01:00,6948.212651,12971.07426,45878.98397,-14.37
2019-01-01T13:30+01:00,6931.266498,12964.38114,45866.89093,-18.02
2019-01-01T13:45+01:00,6937.241616,12926.67771,45960.57922,-13.18
2019-01-01T14:00+01:00,6941.388227,12942.97989,45768.25839,-8.62
2019-01-01T14:15+01:00,6988.739537,12921.70684,45476.90221,-3.59
2019-01-01T14:30+01:00,7010.401837,12991.18453,45565.7449,-4.92
2019-01-01T14:45+01:00,7103.066121,12935.72006,45194.47104,-5.31
2019-01-01T15:00+01:00,7164.575862,13064.38259,44213.07293,-6.5
2019-01-01T15:15+01:00,7195.600512,13023.13929,44200.59504,-3.2
2019-01-01T15:30+01:00,7290.363082,12943.27569,44262.84998,4.37
2019-01-01T15:45+01:00,7409.405813,12885.32394,44712.78862,7.33
2019-01-01T16:00+01:00,7405.189258,12843.81334,44955.16739,-6.7
2019-01-01T16:15+01:00,7441.019981,12825.12545,45123.32626,-0.9
2019-01-01T16:30+01:00,7537.621049,12875.97461,45000.9869,10.19
2019-01-01T16:45+01:00,7617.166053,12911.55385,45147.35705,16.81
2019-01-01T17:00+01:00,7617.066135,12917.94434,45316.30332,-0.14
2019-01-01T17:15+01:00,7656.463943,12965.61858,45563.90021,4.64
2019-01-01T17:30+01:00,7652.117494,12933.09069,45550.16313,13.47
2019-01-01T17:45+01:00,7666.805493,12789.2181,45517.88409,13.41
2019-01-01T18:00+01:00,7659.901134,12747.35703,45564.22724,9.97
2019-01-01T18:15+01:00,7595.303916,12737.04447,45459.57696,9.99
2019-01-01T18:30+01:00,7405.279185,12753.06102,45710.51335,9.7
2019-01-01T18:45+01:00,7310.596549,12763.83203,45574.59103,7.44
2019-01-01T19:00+01:00,7327.133037,12762.7707,45130.49187,12.79
2019-01-01T19:15+01:00,7171.010604,12741.94066,45108.3553,12.15
2019-01-01T19:30+01:00,7010.391845,12775.32601,45278.89803,8.06
2019-01-01T19:45+01:00,6866.659288,12729.21242,45210.74746,-1
2019-01-01T20:00+01:00,6804.61998,12714.93484,45252.63742,-0.9
2019-01-01T20:15+01:00,6668.950835,12726.94871,45068.30434,-0.9
2019-01-01T20:30+01:00,6515.965838,12721.64524,45066.74268,-2
2019-01-01T20:45+01:00,6384.2035,12708.21599,44771.82542,-10.34
2019-01-01T21:00+01:00,6252.820852,12657.34743,44798.64521,2.44
2019-01-01T21:15+01:00,6120.079315,12677.62309,44724.69735,-3.92
2019-01-01T21:30+01:00,6107.299757,12688.86521,44546.3452,-11.32
2019-01-01T21:45+01:00,6106.740214,12678.48998,44383.02728,-17.46
2019-01-01T22:00+01:00,6150.454495,12718.21608,43315.54281,6.6
2019-01-01T22:15+01:00,6099.925782,12645.53963,43508.63388,2.74
2019-01-01T22:30+01:00,6033.02045,12667.69951,43456.92698,-22.26
2019-01-01T22:45+01:00,6002.585318,12621.87686,43767.83959,-33.2
2019-01-01T23:00+01:00,6018.342443,12502.5012,43564.97841,-20.8
2019-01-01T23:15+01:00,5982.521712,12430.12817,43652.10181,-6.7
2019-01-01T23:30+01:00,5974.867966,12425.77289,42990.77158,-18.48
2019-01-01T23:45+01:00,5941.075578,12446.365,43149.98874,-29.25
2019-01-02T00:00+01:00,5904.475484,12452.81616,42440.48413,9.88
2019-01-02T00:15+01:00,5766.398306,12571.91953,41787.2011,0.55
2019-01-02T00:30+01:00,5762.88118,12592.30179,41558.41316,-7.68
2019-01-02T00:45+01:00,5728.439322,12524.05485,40950.17077,-26.18
2019-01-02T01:00+01:00,5752.809409,11942.57592,40281.57204,5.46
2019-01-02T01:15+01:00,5753.978454,12116.17212,40618.96276,-0.76
2019-01-02T01:30+01:00,5727.07044,11909.49325,40570.50482,-3.22
2019-01-02T01:45+01:00,5688.402036,11955.45677,40568.4136,-13.56
2019-01-02T02:00+01:00,5730.897313,12107.12056,40081.95035,22.88
2019-01-02T02:15+01:00,5739.250488,12226.56436,40164.09892,22.4
2019-01-02T02:30+01:00,5718.187698,12146.85389,40027.74308,20.98
2019-01-02T02:45+01:00,5735.673411,12160.64978,39744.05371,11.86
2019-01-02T03:00+01:00,5712.072695,12218.7222,39492.56235,-4.49
2019-01-02T03:15+01:00,5718.647323,12181.32679,39393.87581,-2.22
2019-01-02T03:30+01:00,5772.633211,12445.90122,39355.9872,-6.28
2019-01-02T03:45+01:00,5782.235365,12410.14119,39309.52908,-11.01
2019-01-02T04:00+01:00,5749.71194,12264.627,39363.33347,-22.03
2019-01-02T04:15+01:00,5771.26433,12347.00896,39556.47018,-9.44
2019-01-02T04:30+01:00,5795.984131,12404.91598,39738.46287,-1.92
2019-01-02T04:45+01:00,5791.807544,12580.07057,39600.56134,-1
2019-01-02T05:00+01:00,5814.299166,13014.79291,40115.87318,-11.32
2019-01-02T05:15+01:00,5919.383302,13266.00874,40343.69401,-4.25
2019-01-02T05:30+01:00,6107.319741,13445.03748,40863.16969,2.13
2019-01-02T05:45+01:00,6499.209529,13604.01298,41195.87321,7.51
2019-01-02T06:00+01:00,7051.957882,14368.61173,41700.82264,-24.46
2019-01-02T06:15+01:00,7497.713657,15015.03063,42029.20943,-7.2
2019-01-02T06:30+01:00,7895.498629,15467.11631,42091.95265,12.3
2019-01-02T06:45+01:00,8174.590584,15763.03512,42108.77441,24.17
2019-01-02T07:00+01:00,8320.701198,16406.94846,42372.29046,1.82
2019-01-02T07:15+01:00,8588.981987,16891.58739,42582.3356,14.55
2019-01-02T07:30+01:00,8704.047967,17377.55443,42454.6706,32.88
2019-01-02T07:45+01:00,8699.052049,17724.61689,42020.03892,44.24
2019-01-02T08:00+01:00,8756.225333,18136.28885,41730.30426,31.3
2019-01-02T08:15+01:00,8825.258926,18725.8969,41368.62298,43.7
2019-01-02T08:30+01:00,8845.242598,19222.74925,41440.00661,50.03
2019-01-02T08:45+01:00,8906.342673,19667.93049,41339.21851,50.2
2019-01-02T09:00+01:00,8973.887483,20516.00427,41440.52667,41.9
2019-01-02T09:15+01:00,9016.752458,21040.56194,41553.48954,48.6
2019-01-02T09:30+01:00,9012.366042,21396.60686,41800.39193,50.2
2019-01-02T09:45+01:00,9023.896621,21636.55979,42284.42722,49.2
2019-01-02T10:00+01:00,9027.643559,21717.15701,43035.75327,48
2019-01-02T10:15+01:00,9021.068931,21657.56879,43778.7783,45.96
2019-01-02T10:30+01:00,8992.492281,21597.88073,44390.26591,48.02
2019-01-02T10:45+01:00,8981.860968,21402.64826,44645.09492,38.28
2019-01-02T11:00+01:00,8962.366896,21501.99139,45539.107,47.98
2019-01-02T11:15+01:00,8971.959059,21747.6678,46098.81689,47.43
2019-01-02T11:30+01:00,9047.047704,21871.75642,46600.91715,49
2019-01-02T11:45+01:00,9033.728587,21933.79962,46686.81736,43.85
2019-01-02T12:00+01:00,9087.284826,22072.63337,47013.98058,52.93
2019-01-02T12:15+01:00,9115.501771,21927.67216,47079.07843,51.07
2019-01-02T12:30+01:00,9099.71467,21824.40707,47143.83852,48.03
2019-01-02T12:45+01:00,9061.425956,21893.17663,46943.81952,43.97
2019-01-02T13:00+01:00,9007.370124,21607.39284,46521.76134,51.69
2019-01-02T13:15+01:00,8987.406437,21525.0429,45896.36242,52.49
2019-01-02T13:30+01:00,8999.01695,21502.22177,45327.6767,49
2019-01-02T13:45+01:00,9008.169471,22051.51329,44185.02015,46.5
2019-01-02T14:00+01:00,8967.732512,22331.567,43301.1721,46.06
2019-01-02T14:15+01:00,9019.280393,22585.21869,41984.73456,47.82
2019-01-02T14:30+01:00,9025.175576,23148.42709,40619.43888,57.9
2019-01-02T14:45+01:00,9006.480851,23625.47421,39272.66103,59.3
2019-01-02T15:00+01:00,9032.639477,24105.77441,37730.72261,44.48
2019-01-02T15:15+01:00,9050.67474,25004.89758,36258.89788,50.86
2019-01-02T15:30+01:00,9043.580537,25729.09592,35503.48013,61.16
2019-01-02T15:45+01:00,9087.984255,26415.24732,34834.41911,62.6
2019-01-02T16:00+01:00,9081.749349,27215.25672,33564.38074,47.1
2019-01-02T16:15+01:00,9215.829793,28016.06856,32931.81627,57
2019-01-02T16:30+01:00,9248.523079,28623.09442,32374.99385,63.7
2019-01-02T16:45+01:00,9258.075274,28991.31339,32605.67035,69.96
2019-01-02T17:00+01:00,9219.536764,29012.3861,32277.37581,60.1
2019-01-02T17:15+01:00,9247.633806,29313.8712,31979.86554,63.71
2019-01-02T17:30+01:00,9243.457219,29557.42168,31401.24898,70.16
2019-01-02T17:45+01:00,9249.871977,29714.06864,30922.46121,70.79
2019-01-02T18:00+01:00,9200.172586,30073.03612,30447.33983,71.6
2019-01-02T18:15+01:00,9195.166677,30107.0564,30129.92531,68.17
2019-01-02T18:30+01:00,9197.624668,30368.62376,29629.38968,70.66
2019-01-02T18:45+01:00,9169.647528,30563.05334,29277.69934,69.88
2019-01-02T19:00+01:00,9129.630226,30609.8421,28791.88506,76.57
2019-01-02T19:15+01:00,9118.809068,30606.64274,28489.02396,72.66
2019-01-02T19:30+01:00,9121.526847,30484.5864,27884.04138,62.96
2019-01-02T19:45+01:00,9111.365151,30539.17244,27441.20864,60.1
2019-01-02T20:00+01:00,9206.66728,30863.64772,27031.59167,74.73
2019-01-02T20:15+01:00,9198.853664,30925.8243,26459.41723,70.67
2019-01-02T20:30+01:00,9210.354267,30919.67986,26202.32607,56.81
2019-01-02T20:45+01:00,9204.648929,30687.46832,25925.12636,46.73
2019-01-02T21:00+01:00,9247.533888,30309.67946,25380.94268,66.22
2019-01-02T21:15+01:00,9248.163373,30046.75402,24947.01701,64.51
2019-01-02T21:30+01:00,9249.512271,29695.63048,24811.63209,53.33
2019-01-02T21:45+01:00,9234.624436,29559.64879,24570.03525,44.6
2019-01-02T22:00+01:00,9262.002066,29804.59709,24334.87569,72.06
2019-01-02T22:15+01:00,9247.593839,29739.91589,23788.0534,62.98
2019-01-02T22:30+01:00,9253.359128,29592.29159,23683.91145,51.17
2019-01-02T22:45+01:00,9241.758607,29197.91516,23008.4289,42.98
2019-01-02T23:00+01:00,9267.217804,28585.93779,22830.081,65.49
2019-01-02T23:15+01:00,9268.536726,28539.98278,22394.34077,55.82
2019-01-02T23:30+01:00,9284.443729,28495.19529,22292.38807,46.69
2019-01-02T23:45+01:00,9303.887841,27863.13546,22278.99533,34.6
2019-01-03T00:00+01:00,9394.83353,27607.92536,22329.80243,59.52
2019-01-03T00:15+01:00,9468.753131,27680.52156,22318.22743,50.13
2019-01-03T00:30+01:00,9480.153815,27496.16719,21920.39379,42.48
2019-01-03T00:45+01:00,9487.268002,27823.95343,21843.29854,31.85
2019-01-03T01:00+01:00,9499.527985,28205.62619,22152.9661,57.8
2019-01-03T01:15+01:00,9488.856704,28081.39978,22188.89367,46.8
2019-01-03T01:30+01:00,9478.315317,28136.71779,22144.61794,39.44
2019-01-03T01:45+01:00,9471.221114,28216.59841,21962.9901,39.93
