Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2024-01-01T21:15+01:00,9560.495843,36114.80074,20.09
2024-01-01T21:30+01:00,9550.597103,35746.23794,35.29
2024-01-01T21:45+01:00,9539.762044,35477.30338,15.1
2024-01-01T22:00+01:00,9433.234413,34882.1442,79.91
2024-01-01T22:15+01:00,9459.601154,34789.5268,32.72
2024-01-01T22:30+01:00,9375.636164,34187.51859,15.07
2024-01-01T22:45+01:00,9335.859195,33515.48063,10.08
2024-01-01T23:00+01:00,9297.164697,32867.66999,74.9
2024-01-01T23:15+01:00,9339.345534,32347.15499,15.07
2024-01-01T23:30+01:00,9262.488026,32299.30745,10.08
2024-01-01T23:45+01:00,9195.007018,31729.82606,5.05
2024-01-02T00:00+01:00,9433.11134,31257.53166,74.93
2024-01-02T00:15+01:00,9009.610957,31155.57578,56.11
2024-01-02T00:30+01:00,9024.408416,31006.60369,7.59
2024-01-02T00:45+01:00,9020.000236,30824.61011,5.07
2024-01-02T01:00+01:00,9049.508445,30593.2743,67.42
2024-01-02T01:15+01:00,8989.543606,30406.15908,10.09
2024-01-02T01:30+01:00,8984.550718,30126.8538,40.84
2024-01-02T01:45+01:00,9021.738683,29916.39409,-0.01
2024-01-02T02:00+01:00,9016.938317,30063.00255,42.88
2024-01-02T02:15+01:00,9024.326491,29942.0625,5.1
2024-01-02T02:30+01:00,9040.189296,30133.95928,54.9
2024-01-02T02:45+01:00,9162.797423,30310.06912,0.09
2024-01-02T03:00+01:00,9191.987122,30669.63223,30.18
2024-01-02T03:15+01:00,9102.212354,31365.68254,2.58
2024-01-02T03:30+01:00,9215.3247,31777.5114,2.57
2024-01-02T03:45+01:00,9209.760495,32134.36624,54.91
2024-01-02T04:00+01:00,9232.40473,32913.80211,2.57
2024-01-02T04:15+01:00,9264.028206,33704.89369,2.58
2024-01-02T04:30+01:00,9270.018694,34290.77596,27.41
2024-01-02T04:45+01:00,9354.322816,34807.77634,57.45
2024-01-02T05:00+01:00,9535.322863,35607.14593,-24.98
2024-01-02T05:15+01:00,9607.314774,36386.90479,-0.06
2024-01-02T05:30+01:00,9632.451439,37248.63822,5.09
2024-01-02T05:45+01:00,9762.046677,37844.05326,152.11
2024-01-02T06:00+01:00,10050.21917,39128.95174,-4.9
2024-01-02T06:15+01:00,10097.24509,39654.22138,37.54
2024-01-02T06:30+01:00,10099.7134,40172.49714,69.91
