Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2020-01-01T00:00+01:00,8095.913899,18935.47546,14029.45462,44.24
2020-01-01T00:15+01:00,8082.454242,18793.95274,13954.0793,35.58
2020-01-01T00:30+01:00,8082.164249,18734.37372,14065.99045,22.79
2020-01-01T00:45+01:00,8077.40437,18702.99422,14133.44768,9.36
2020-01-01T01:00+01:00,8090.674032,18523.00511,14355.20926,41.17
2020-01-01T01:15+01:00,8089.024074,18436.4213,14208.4525,33.69
2020-01-01T01:30+01:00,8089.724057,18301.32422,14224.36753,17
2020-01-01T01:45+01:00,8087.804106,18225.69714,14344.38774,10.14
2020-01-01T02:00+01:00,8094.483935,18173.56663,14576.12364,30.3
2020-01-01T02:15+01:00,8091.224018,18116.4677,14561.01362,26.36
2020-01-01T02:30+01:00,8077.294373,18114.68955,14634.53451,21
2020-01-01T02:45+01:00,8065.984661,18216.77774,14665.99927,18.34
2020-01-01T03:00+01:00,8081.444267,18343.48317,14756.97977,23.23
2020-01-01T03:15+01:00,8073.674465,18355.85664,14704.80677,21.65
2020-01-01T03:30+01:00,8070.72454,18357.77574,14758.64372,23
2020-01-01T03:45+01:00,8064.294704,18369.81207,14833.51996,24.53
2020-01-01T04:00+01:00,8075.84441,18343.46978,14833.25963,12.46
2020-01-01T04:15+01:00,8075.034431,18336.59777,14845.78433,22.11
2020-01-01T04:30+01:00,8070.75454,18378.20912,14870.27172,24.94
2020-01-01T04:45+01:00,8071.824512,18378.13526,14876.86247,24.92
2020-01-01T05:00+01:00,8069.884562,18345.88883,14875.46536,19.54
2020-01-01T05:15+01:00,8067.664618,18340.94483,14834.64643,22.11
2020-01-01T05:30+01:00,8072.004508,18397.83858,14870.31951,22.57
2020-01-01T05:45+01:00,8070.454547,18339.50375,14782.20408,24.98
2020-01-01T06:00+01:00,8074.984432,18326.84293,14782.52497,20.1
2020-01-01T06:15+01:00,8071.594518,18315.41694,14628.1485,20
2020-01-01T06:30+01:00,8073.204477,18203.54518,14616.046,22.76
2020-01-01T06:45+01:00,8084.564188,18166.27015,14568.41726,29.14
2020-01-01T07:00+01:00,8095.983897,18297.32409,14624.37141,14.77
2020-01-01T07:15+01:00,8099.103818,18303.68407,14672.19233,22.75
2020-01-01T07:30+01:00,8085.154173,18386.77796,14576.20751,30.41
2020-01-01T07:45+01:00,8091.324016,18705.47226,14502.91156,35.67
2020-01-01T08:00+01:00,8095.823901,18916.76911,14510.80535,15.5
2020-01-01T08:15+01:00,8098.083844,19034.2319,14648.83259,24.92
2020-01-01T08:30+01:00,8097.413861,19065.90715,15017.18183,26.95
2020-01-01T08:45+01:00,8096.703879,19120.19883,15504.27897,33.85
2020-01-01T09:00+01:00,8095.07392,19185.00751,16292.74891,24.72
2020-01-01T09:15+01:00,8101.39376,19229.97114,17109.42351,28.44
2020-01-01T09:30+01:00,8099.293813,19310.76847,17981.488,28.71
2020-01-01T09:45+01:00,8094.71393,19334.40503,19072.49272,24.65
2020-01-01T10:00+01:00,8084.004202,19370.38535,19939.41963,28.12
2020-01-01T10:15+01:00,8080.004304,19424.31926,20671.04335,25
2020-01-01T10:30+01:00,8057.284882,19486.00333,21444.65269,24.87
2020-01-01T10:45+01:00,7981.486812,19586.00437,22357.18246,28.4
2020-01-01T11:00+01:00,7939.167889,19561.67005,23022.65894,21.37
2020-01-01T11:15+01:00,7795.471548,19541.51536,23733.62673,25.61
2020-01-01T11:30+01:00,7800.041431,19379.74647,24339.49947,28.55
2020-01-01T11:45+01:00,7730.733196,19392.69356,24764.51284,31.22
2020-01-01T12:00+01:00,7646.09535,19569.67486,25085.02274,32.42
2020-01-01T12:15+01:00,7684.624369,19566.18378,25367.02746,30.09
2020-01-01T12:30+01:00,7721.823422,19567.70701,25639.1819,26.67
2020-01-01T12:45+01:00,7674.514627,19541.62659,25734.00126,19.02
2020-01-01T13:00+01:00,7760.702433,19222.09406,25658.82757,32.15
2020-01-01T13:15+01:00,7876.909474,19113.96409,25252.21184,25.84
2020-01-01T13:30+01:00,7985.986698,19253.44166,24894.97116,26.01
2020-01-01T13:45+01:00,8046.615154,19369.00999,24045.26746,24
2020-01-01T14:00+01:00,8050.245062,19786.33548,23088.20714,26
2020-01-01T14:15+01:00,8074.894434,20011.48308,22035.88057,25.76
